2Xtreme;PS;NULL;1,4;NULL
3 in 1: Solitaire Mahjong & Tangram;DS;NULL;0,08;NULL
300: March to Glory;PSP;NULL;0,41;55
3D Baseball;PS;NULL;0,03;NULL
3D Dot Game Heroes;PS3;NULL;0,57;77
3D Lemmings;PS;NULL;0,06;NULL
3D Tank Warfare Simulator Panzer Front;PS;NULL;0,1;NULL
3DS Classic Collection;3DS;NULL;0,03;NULL
3rd Super Robot Wars Z Jigoku Hen;PS3;NULL;0,23;NULL
3rd Super Robot Wars Z Jigoku Hen;PSV;NULL;0,19;NULL
3rd Super Robot Wars Z: Tengoku-Hen;PS3;NULL;0,15;NULL
3rd Super Robot Wars Z: Tengoku-Hen;PSV;NULL;0,19;NULL
3Xtreme;PS;NULL;0,9;NULL
4 Elements;PC;NULL;0,05;NULL
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship;DS;NULL;0,12;NULL
4 Nin uchi Mahjong;NES;NULL;1,45;NULL
40 Winks;PS;Adventure / Action;0,31;NULL
428: Fuusa Sareta Shibuya de;PS3;NULL;0,02;NULL
428: Fuusa Sareta Shibuya de;PSP;NULL;0,04;NULL
428: Fuusa Sareta Shibuya de;Wii;NULL;0,13;NULL
4x4 EVO 2;GC;NULL;0,14;56
4x4 EVO 2;XB;NULL;0,24;NULL
4x4 Evolution;PS2;NULL;0,32;64
50 Cent: Blood on the Sand;PS3;NULL;0,19;72
50 Cent: Blood on the Sand;X360;NULL;0,21;71
50 Cent: Bulletproof;PS2;NULL;1,77;47
50 Cent: Bulletproof;PSP;NULL;0,09;NULL
50 Cent: Bulletproof;XB;NULL;0,44;NULL
50 Classic Games;3DS;NULL;0,02;NULL
50 Classic Games;DS;NULL;0,55;NULL
64 de Hakken! Tamagotchi Minna de Tamagotchi World;N64;NULL;0,22;NULL
7 Days to Die;PS4;Strategy / Action / Violent / Indie / RPG / Adventure / Early Access / Nudity / Gore / Simulation;0,12;45
7 Days to Die;XOne;Strategy / Action / Violent / Indie / RPG / Adventure / Early Access / Nudity / Gore / Simulation;0,04;35
7 Roses: A Darkness Rises;PC;NULL;0,02;NULL
7 Wonders II;DS;Casual;0,32;60
7 Wonders of the Ancient World;DS;Strategy / Casual;0,13;60
7 Wonders of the Ancient World;PSP;Strategy / Casual;0,08;51
7 Wonders: Treasures of Seven;DS;Casual;0,05;NULL
7th Dragon;DS;NULL;0,14;NULL
7th Dragon 2020;PSP;NULL;0,2;NULL
7th Dragon 2020-II;PSP;NULL;0,13;NULL
7th Dragon III Code: VFD;3DS;NULL;0,16;76
99 no Namida;DS;NULL;0,04;NULL
999: Nine Hours Nine Persons Nine Doors;DS;NULL;0,43;NULL
A Boy and His Blob;Wii;Adventure;0,22;80
A Bug's Life;N64;NULL;0,63;NULL
A Bug's Life;PS;NULL;2,79;NULL
A Collection of Activision Classic Games for the Atari 2600;PS;NULL;1,37;NULL
A Collection of Classic Games from the Intellivision;PS;NULL;0,31;NULL
A Game of Thrones: Genesis;PC;NULL;0,04;53
A Good Librarian Like a Good Shepherd: Library Party;PSV;NULL;0,03;NULL
A llI S.V.: A Ressha de Gyoukou 3 Super Version;SNES;NULL;0,06;NULL
A New Beginning;PC;NULL;0,06;NULL
A Ressha de Gyoukou 2001;PS2;NULL;0,03;NULL
A Ressha de Ikou DS;DS;NULL;0,04;NULL
A Vampyre Story;PC;Adventure;0,02;NULL
A Witch's Tale;DS;NULL;0,11;50
A-Train;PS;NULL;0,08;NULL
A-Train 6;PS2;NULL;0,06;NULL
A-Train: City Simulator;3DS;NULL;0,06;NULL
A. IV Evolution: A Ressha de Ikou 4;PS;NULL;0,25;NULL
A.C.E.: Another Century's Episode;PS2;NULL;0,26;NULL
A.C.E.: Another Century's Episode 2;PS2;NULL;0,18;NULL
A.C.E.: Another Century's Episode 3: The Final;PS2;NULL;0,26;NULL
A.C.E.: Another Century's Episode Portable;PSP;NULL;0,12;NULL
A.C.E.: Another Century's Episode R;PS3;NULL;0,26;NULL
Aa Megami-samaa;PS2;NULL;0,01;NULL
ABBA: You Can Dance;Wii;NULL;0,8;66
Abunai: Koi no Sousa Shitsu;PSP;NULL;0,01;NULL
Abunai: Koi no Sousa Shitsu;PSV;NULL;0,02;NULL
AC/DC Live: Rock Band Track Pack;PS2;NULL;0,16;NULL
AC/DC Live: Rock Band Track Pack;PS3;NULL;0,24;60
AC/DC Live: Rock Band Track Pack;Wii;NULL;0,28;NULL
AC/DC Live: Rock Band Track Pack;X360;NULL;0,23;63
Academy of Champions: Soccer;Wii;NULL;0,13;64
Accel World: Ginyoku no Kakusei;PS3;NULL;0,03;NULL
Accel World: Ginyoku no Kakusei;PSP;NULL;0,03;NULL
Accel World: Kasoku no Chouten;PS3;NULL;0,02;NULL
Accel World: Kasoku no Chouten;PSP;NULL;0,01;NULL
Ace Attorney 6;3DS;NULL;0,27;NULL
Ace Attorney Investigations 2;DS;NULL;0,26;NULL
Ace Attorney Investigations: Miles Edgeworth;DS;NULL;0,76;78
Ace Combat 04: Shattered Skies;PS2;NULL;3,17;89
Ace Combat 2;PS;NULL;0,89;83
Ace Combat 3: Electrosphere;PS;NULL;0,83;NULL
Ace Combat 5: The Unsung War;PS2;NULL;1,71;84
Ace Combat 6: Fires of Liberation;X360;NULL;1,02;80
Ace Combat X: Skies of Deception;PSP;NULL;0,99;75
Ace Combat Zero: The Belkan War;PS2;NULL;0,51;75
Ace Combat: Assault Horizon;PS3;NULL;0,74;77
Ace Combat: Assault Horizon;X360;NULL;0,49;78
Ace Combat: Assault Horizon Legacy;3DS;NULL;0,24;71
Ace Combat: Joint Assault;PSP;NULL;0,29;71
Achtung Panzer: Kharkov 1943;PC;NULL;0,02;70
Act of Aggression;PC;NULL;0,01;71
Action Bass;PS;NULL;1,14;51
Action Force;2600;NULL;0,54;NULL
Action Man-Operation Extreme;PS;NULL;0,09;NULL
Active Health with Carol Vorderman;DS;NULL;0,19;NULL
Active Life Explorer;Wii;NULL;0,15;NULL
Active Life: Extreme Challenge;Wii;NULL;0,48;56
Active Life: Magical Carnival;Wii;NULL;0,05;NULL
Active Life: Outdoor Challenge;Wii;NULL;1,55;69
Activision Anthology;GBA;NULL;0,05;79
Activision Anthology;PS2;NULL;0,5;75
Activision Hits: Remixed;PSP;NULL;0,06;NULL
Actua Tennis;PS;NULL;0,13;NULL
Adidas Power Soccer;PS;NULL;0,04;NULL
Adidas Power Soccer 98;PS;NULL;0,02;NULL
Adrenalin Misfits;X360;NULL;0,14;50
Advance Guardian Heroes;GBA;NULL;0,04;65
Advance Wars;GBA;NULL;0,7;92
Advance Wars 2: Black Hole Rising;GBA;NULL;0,65;89
Advance Wars: Days of Ruin;DS;NULL;0,63;86
Advance Wars: Dual Strike;DS;NULL;0,4;90
Advent Rising;XB;Action;0,13;NULL
Adventure;2600;NULL;1,3;NULL
Adventure Island;NES;NULL;1,05;NULL
Adventure Time: Explore the Dungeon Because I DON'T KNOW!;3DS;NULL;0,14;33
Adventure Time: Explore the Dungeon Because I DON'T KNOW!;PS3;NULL;0,05;40
Adventure Time: Explore the Dungeon Because I DON'T KNOW!;WiiU;NULL;0,03;40
Adventure Time: Explore the Dungeon Because I DON'T KNOW!;X360;NULL;0,08;47
Adventure Time: Finn & Jake Investigations;3DS;NULL;0,07;NULL
Adventure Time: Finn & Jake Investigations;PS3;NULL;0,1;NULL
Adventure Time: Finn & Jake Investigations;PS4;NULL;0,09;NULL
Adventure Time: Finn & Jake Investigations;WiiU;NULL;0,05;NULL
Adventure Time: Finn & Jake Investigations;X360;NULL;0,09;NULL
Adventure Time: Finn & Jake Investigations;XOne;NULL;0,05;NULL
Adventure Time: The Secret of the Nameless;3DS;NULL;0,02;NULL
Adventure Time: The Secret of the Nameless;X360;NULL;0,01;NULL
Adventure Time: The Secret of the Nameless Kingdom;3DS;NULL;0,08;65
Adventure Time: The Secret of the Nameless Kingdom;X360;NULL;0,09;58
Adventures of Lolo;NES;NULL;0,06;NULL
Adventures of Tron;2600;NULL;0,67;NULL
Adventures to Go!;PSP;NULL;0,13;58
Aedis Eclipse: Generation of Chaos;PSP;NULL;0,02;62
Aegis of Earth: Protonovus Assault;PS3;Strategy;0,03;NULL
Aegis of Earth: Protonovus Assault;PS4;Strategy;0,02;57
Aegis of Earth: Protonovus Assault;PSV;Strategy;0,04;NULL
Aeon Flux;PS2;NULL;0,04;66
Aeon Flux;XB;NULL;0,01;NULL
Aero Elite: Combat Academy;PS2;NULL;0,07;64
Aero Gauge;N64;NULL;0,07;NULL
AeroFighters Assault;N64;NULL;0,19;NULL
Afrika;PS3;NULL;0,21;63
Afro Samurai;PS3;NULL;0,2;65
Afro Samurai;X360;NULL;0,24;65
After Hours Athletes;PS3;NULL;0,12;NULL
Again;DS;NULL;0,07;NULL
Agarest Senki: Re-appearance;PS3;NULL;0,01;NULL
Agassi Tennis Generation;PS2;NULL;0,09;NULL
Agatha Christie's The ABC Murders;PS4;NULL;0,02;67
Agatha Christie: And Then There Were None;Wii;NULL;0,08;50
Agatha Christie: Death on the Nile;PC;NULL;0,02;NULL
Agatha Christie: Evil Under the Sun;Wii;NULL;0,09;46
Agatha Christie: Peril at End House;PC;NULL;0,01;NULL
Agatha Christie: The ABC Murders;DS;NULL;0,1;53
Agatha Christie: The ABC Murders;PC;NULL;0,02;66
Age of Conan: Rise of the Godslayer;PC;NULL;0,03;83
Age of Empires II: The Age of Kings;PC;NULL;0,1;92
Age of Empires III;PC;NULL;0,39;81
Age of Empires III: Complete Collection;PC;NULL;0,17;NULL
Age of Empires III: Gold Edition;PC;NULL;0,03;NULL
Age of Empires III: The Asian Dynasties;PC;NULL;0,07;81
Age of Empires Online;PC;NULL;0,06;70
Age of Empires: Collector's Edition;PC;NULL;0,14;NULL
Age of Empires: Mythologies;DS;NULL;0,22;78
Age of Empires: The Age of Kings;DS;NULL;0,23;80
Age of Mythology;PC;NULL;0,09;89
Age of Mythology: The Titans;PC;NULL;0,04;84
Aggressive Inline;GC;NULL;0,06;88
Aggressive Inline;PS2;NULL;0,35;85
Aggressive Inline;XB;NULL;0,06;NULL
Agile Warrior F-111X;PS;NULL;0,14;NULL
Aibou DS;DS;NULL;0,08;NULL
Aidyn Chronicles: The First Mage;N64;NULL;0,1;53
Aikatsu! 2-nin no My Princess;3DS;NULL;0,26;NULL
Aikatsu! 365 Idol Days;3DS;NULL;0,13;NULL
Aikatsu! Cinderella Lesson;3DS;NULL;0,2;NULL
Aikatsu! My No.1 Stage!;3DS;NULL;0,07;NULL
Ailu de Puzzle;PSP;NULL;0,04;NULL
AIR;PSP;NULL;0,02;NULL
Air Combat;PS;Action / Indie;1,83;NULL
Air Conflicts: Aces of World War II;PSP;NULL;0,05;36
Air Conflicts: Secret Wars;PC;Simulation / Action;0,03;65
Air Conflicts: Secret Wars;PS3;Simulation / Action;0,19;51
Air Conflicts: Secret Wars;X360;Simulation / Action;0,08;61
Air Raid;2600;NULL;0,77;NULL
Air Traffic Chaos;DS;NULL;0,05;66
Air-Sea Battle;2600;NULL;0,98;NULL
AirBlade;PS2;NULL;0,23;70
Airborne Troops: Countdown to D-Day;PS2;NULL;0,12;39
AirForce Delta Storm;GBA;NULL;0,02;71
AirForce Delta Storm;XB;NULL;0,18;NULL
AirForce Delta Strike;PS2;NULL;0,11;66
Airline Tycoon;PC;NULL;0,02;NULL
Airline Tycoon 2;PC;Strategy / Simulation;0,05;57
Airlock;2600;NULL;0,39;NULL
Airport Simulator;PC;NULL;0,02;NULL
Airship Q;PSV;NULL;0,03;NULL
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin;DS;NULL;0,06;NULL
Akai Ito DS;DS;NULL;0,02;NULL
Akai Katana Shin;X360;NULL;0,06;NULL
Akane Iro ni Somaru Saka Parallel;PS2;NULL;0,03;NULL
Akatsuki no Amaneka to Aoi Kyojin;PSP;NULL;0,01;NULL
Akatsuki no Goei Trinity;PS3;NULL;0,01;NULL
Akatsuki no Goei Trinity;PSP;NULL;0,01;NULL
AKB1/149: Love Election;PS3;NULL;0,08;NULL
AKB1/149: Love Election;PSP;NULL;0,23;NULL
AKB1/149: Love Election;PSV;NULL;0,07;NULL
AKB1/48: Idol to Guam de Koishitara...;PSP;NULL;0,4;NULL
AKB1/48: Idol to Guam de Koishitara...;X360;NULL;0,01;NULL
AKB1/48: Idol to Koishitara...;PSP;NULL;0,41;NULL
AKB48+Me;3DS;NULL;0,11;NULL
Akiba's Trip;PSP;NULL;0,14;NULL
Akiba's Trip Plus;PSP;NULL;0,08;NULL
Akiba's Trip: Undead & Undressed;PS3;RPG / Adventure / Casual / Action;0,11;57
Akiba's Trip: Undead & Undressed;PS4;RPG / Adventure / Casual / Action;0,11;57
Akiba's Trip: Undead & Undressed;PSV;RPG / Adventure / Casual / Action;0,21;NULL
Akko ni Omakase! Brain Shock;DS;NULL;0,04;NULL
Akuji the Heartless;PS;NULL;0,12;NULL
Aladdin Magic Racer;Wii;NULL;0,01;NULL
Alan Wake;PC;Adventure / Action;0,07;83
Alan Wake;X360;Adventure / Action;1,35;83
Alex Rider: Stormbreaker;DS;NULL;0,07;48
Alexi Lalas International Soccer;PS;NULL;0,07;NULL
Alfa Romeo Racing Italiano;PS2;NULL;0,01;NULL
Alia's Carnival! Sacrament;PSV;NULL;0,03;NULL
Alias;PS2;NULL;0,11;64
Alias;XB;NULL;0,05;NULL
Alice in Wonderland;DS;NULL;0,5;78
Alice in Wonderland;Wii;NULL;0,53;69
Alice: Madness Returns;PC;NULL;0,12;75
Alice: Madness Returns;PS3;NULL;0,6;70
Alice: Madness Returns;X360;NULL;0,5;70
Alien;2600;NULL;0,79;NULL
Alien Breed Trilogy;X360;NULL;0,03;NULL
Alien Hominid;GC;NULL;0,09;78
Alien Hominid;PS2;NULL;0,1;78
Alien Monster Bowling League;Wii;NULL;0,09;NULL
Alien Resurrection;PS;NULL;0,16;61
Alien Syndrome;PSP;NULL;0,08;51
Alien Syndrome;Wii;NULL;0,06;48
Alien Trilogy;PS;NULL;0,47;NULL
Alien's Return;2600;NULL;0,34;NULL
Alien: Isolation;PC;Action;0,15;81
Alien: Isolation;PS3;Action;0,37;NULL
Alien: Isolation;PS4;Action;1,13;79
Alien: Isolation;X360;Action;0,3;NULL
Alien: Isolation;XOne;Action;0,5;78
Alienators: Evolution Continues;GBA;NULL;0,03;54
Aliens in the Attic;DS;NULL;0,05;58
Aliens in the Attic;Wii;NULL;0,08;NULL
Aliens Versus Predator: Extinction;PS2;NULL;0,19;66
Aliens Versus Predator: Extinction;XB;NULL;0,08;NULL
Aliens vs Predator;PC;NULL;0,19;NULL
Aliens vs Predator;PS3;NULL;1,05;NULL
Aliens vs Predator;X360;NULL;1,06;NULL
Aliens vs Predator: Requiem;PSP;NULL;0,22;NULL
Aliens: Colonial Marines;PC;NULL;0,18;45
Aliens: Colonial Marines;PS3;NULL;0,64;43
Aliens: Colonial Marines;X360;NULL;0,8;48
Aliens: Infestation;DS;NULL;0,18;76
All Grown Up! Express Yourself;GBA;NULL;0,18;49
All Grown Up!: Game Boy Advance Video Volume 1;GBA;NULL;0,24;NULL
All Japan Pro Wrestling featuring Virtua;SAT;NULL;0,15;NULL
All Kamen Rider: Rider Generation;DS;NULL;0,12;NULL
All Kamen Rider: Rider Generation 2;DS;NULL;0,1;NULL
All Kamen Rider: Rider Generation 2;PSP;NULL;0,06;NULL
All Points Bulletin;PC;NULL;0,04;NULL
All Star Cheer Squad;DS;NULL;0,28;NULL
All Star Cheer Squad;Wii;NULL;0,8;NULL
All Star Cheer Squad 2;Wii;NULL;0,13;NULL
All Star Karate;Wii;NULL;0,23;46
All Star Pro-Wrestling;PS2;NULL;0,2;NULL
All Star Tennis 99;N64;NULL;0,05;NULL
All-Pro Football 2K8;PS3;NULL;0,15;73
All-Pro Football 2K8;X360;NULL;0,26;75
All-Star Baseball 2000;N64;NULL;0,39;NULL
All-Star Baseball 2001;N64;NULL;0,23;NULL
All-Star Baseball 2002;GC;NULL;0,22;66
All-Star Baseball 2002;PS2;NULL;0,56;77
All-Star Baseball 2003;GBA;NULL;0,15;77
All-Star Baseball 2003;GC;NULL;0,15;83
All-Star Baseball 2003;PS2;NULL;0,77;81
All-Star Baseball 2003;XB;NULL;0,26;NULL
All-Star Baseball 2004;GBA;NULL;0,07;NULL
All-Star Baseball 2004;GC;NULL;0,08;80
All-Star Baseball 2004;PS2;NULL;0,42;78
All-Star Baseball 2004;XB;NULL;0,13;NULL
All-Star Baseball 2005;PS2;NULL;0,32;72
All-Star Baseball 2005;XB;NULL;0,15;NULL
All-Star Baseball 99;N64;NULL;0,48;NULL
Alleyway;GB;NULL;1,94;NULL
Allied General;PS;NULL;0,19;NULL
Alone in the Dark;PC;Adventure / Action;0,01;55
Alone in the Dark;PS2;Adventure / Action;0,06;47
Alone in the Dark;Wii;Adventure / Action;0,18;39
Alone in the Dark;X360;Adventure / Action;0,49;58
Alone in the Dark: Inferno;PS3;NULL;0,14;69
Alone in the Dark: One-Eyed Jack's Revenge;PS;NULL;0,31;NULL
Alone in the Dark: The New Nightmare;PS;Adventure / Action;0,16;77
Alpha and Omega;DS;NULL;0,07;NULL
Alpha Protocol;PC;NULL;0,04;72
Alpha Protocol;PS3;NULL;0,43;64
Alpha Protocol;X360;NULL;0,4;63
Alter Echo;PS2;NULL;0,13;62
Alter Echo;XB;NULL;0,05;NULL
Alter Ego;PC;Simulation / Indie / RPG / Adventure / Casual / Simulation / Indie / RPG / Adventure / Casual / RPG / Adventure / Casual / Simulation / Indie / RPG / Adventure / Casual / Simulation / Indie / Simulation / Indie / RPG / Adventure / Casual / Simulation / Indie / RPG / Adventure / Casual / RPG / Adventure / Casual / Simulation / Indie / RPG / Adventure / Casual / Simulation / Indie;0,03;59
Altered Beast: Guardian of the Realms;GBA;NULL;0,09;63
Alundra;PS;NULL;0,23;86
Alundra 2: A New Legend Begins;PS;NULL;0,27;NULL
Alvin and the Chipmunks;DS;NULL;0,14;NULL
Alvin and the Chipmunks;PS2;NULL;0,07;33
Alvin and the Chipmunks;Wii;NULL;0,06;30
Alvin and the Chipmunks: Chipwrecked;DS;NULL;0,11;NULL
Alvin and the Chipmunks: Chipwrecked;Wii;NULL;0,1;NULL
Alvin and the Chipmunks: Chipwrecked;X360;NULL;0,1;NULL
Alvin and the Chipmunks: The Squeakquel;DS;NULL;0,3;NULL
Alvin and the Chipmunks: The Squeakquel;Wii;NULL;0,1;NULL
Amagami;PS2;NULL;0,13;NULL
Amagami;PSP;NULL;0,15;NULL
Amagami;PSV;NULL;0,04;NULL
Amagoushi no Yakata;PS2;NULL;0,02;NULL
Amatsumi Sora ni! Kumo no Hatate ni;PSV;NULL;0,02;NULL
Amazing Adventures: The Forgotten Ruins;DS;NULL;0,24;NULL
Amazing Island;GC;NULL;0,06;59
America Oudan Ultra-Quiz;SAT;NULL;0,02;NULL
America's Army: Rise of a Soldier;XB;NULL;0,25;NULL
America's Army: True Soldiers;X360;NULL;0,08;43
America's Next Top Model;DS;NULL;0,1;NULL
America's Next Top Model;Wii;NULL;0,08;NULL
America's Test Kitchen: Let's Get Cooking;DS;NULL;0,27;87
American Bass Challenge;GBA;NULL;0,05;69
American Chopper;PS2;NULL;0,42;47
American Chopper;XB;NULL;0,15;NULL
American Chopper 2: Full Throttle;GC;NULL;0,05;54
American Chopper 2: Full Throttle;PS2;NULL;0,18;NULL
American Chopper 2: Full Throttle;XB;NULL;0,05;NULL
American Girl: Julie Finds a Way;DS;NULL;0,11;NULL
American Girl: Kit Mystery Challenge!;DS;NULL;0,46;NULL
American Idol;GBA;NULL;0,22;NULL
American Idol;PS2;NULL;0,55;41
AMF Bowling 2004;XB;NULL;0,3;NULL
AMF Bowling Pinbusters!;DS;NULL;0,07;51
AMF Bowling Pinbusters!;Wii;NULL;0,91;33
AMF Bowling World Lanes;Wii;NULL;0,36;NULL
AMF Xtreme Bowling;PS2;NULL;0,02;30
Amnesia;PSP;NULL;0,04;NULL
Amnesia Crowd;PSP;NULL;0,05;NULL
Amnesia Later;PSP;NULL;0,05;NULL
Amnesia Later;PSV;NULL;0,01;NULL
AMNESIA World;PSV;NULL;0,03;NULL
Amped 2;XB;NULL;0,25;NULL
Amped 3;X360;NULL;0,16;72
Amped: Freestyle Snowboarding;XB;NULL;0,82;NULL
Amplitude;PS2;NULL;0,18;86
An American Tail: Fievel's Gold Rush;GBA;NULL;0,03;NULL
Anarchy Reigns;PS3;NULL;0,21;71
Anarchy Reigns;X360;NULL;0,17;73
And1 Streetball;PS2;NULL;0,27;NULL
And1 Streetball;XB;NULL;0,07;NULL
Andretti Racing;PS;NULL;0,77;NULL
Angel Blade: Neo Tokyo Guardians;PS;NULL;0,21;NULL
Angelique Duet;PS;NULL;0,04;NULL
Angelique Retour;PSV;NULL;0,02;NULL
Angelique Trois;PS2;NULL;0,06;NULL
Angelique: Maren no Rokukishi;PSP;NULL;0,03;NULL
Angler's Club: Ultimate Bass Fishing 3D;3DS;NULL;0,03;NULL
Angry Birds;PC;NULL;0,24;NULL
Angry Birds Star Wars;3DS;NULL;0,34;NULL
Angry Birds Star Wars;PS3;NULL;0,33;49
Angry Birds Star Wars;PS4;NULL;0,2;47
Angry Birds Star Wars;PSV;NULL;0,12;NULL
Angry Birds Star Wars;Wii;NULL;0,35;NULL
Angry Birds Star Wars;WiiU;NULL;0,11;NULL
Angry Birds Star Wars;X360;NULL;0,29;59
Angry Birds Star Wars;XOne;NULL;0,16;53
Angry Birds Trilogy;3DS;NULL;0,63;62
Angry Birds Trilogy;PS3;NULL;0,16;66
Angry Birds Trilogy;X360;NULL;0,27;63
Angry Birds: Rio;PC;NULL;0,09;NULL
Anima - Gate of Memories;PS4;NULL;0,02;NULL
Animal Crossing;GC;NULL;3,15;87
Animal Crossing: amiibo Festival;WiiU;NULL;0,42;46
Animal Crossing: City Folk;Wii;NULL;4,68;73
Animal Crossing: Happy Home Designer;3DS;NULL;2,98;66
Animal Crossing: New Leaf;3DS;NULL;9,09;88
Animal Crossing: Wild World;DS;NULL;12,27;86
Animal Genius;DS;NULL;0,12;NULL
Animal Kingdom: Wildlife Expedition;Wii;NULL;0,08;NULL
Animal Paradise;DS;NULL;0,25;49
Animal Planet: Emergency Vets;DS;NULL;0,08;NULL
Animal Planet: Vet Collection;DS;NULL;0,05;NULL
Animal Planet: Vet Life;DS;NULL;0,11;NULL
Animal Planet: Vet Life;Wii;NULL;0,1;NULL
Animaniacs Ten Pin Alley;PS;NULL;0,66;NULL
Animaniacs: The Great Edgar Hunt;GC;NULL;0,03;65
AniMates!;DS;NULL;0,03;NULL
Animorphs: Shattered Reality;PS;NULL;0,06;27
Anno 1701: Dawn of Discovery;DS;NULL;0,14;78
Anno 2070;PC;NULL;1,45;83
Anno 2205;PC;NULL;0,25;72
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai;PSP;NULL;0,02;NULL
Another Code R: A Journey into Lost Memories;Wii;NULL;0,06;NULL
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!;3DS;NULL;0,06;NULL
Ant Nation;DS;NULL;0,07;NULL
